,Movie_Title,Duration,Certification_Of_Film,Description_Of_Film,Rating_Of_Film,Votes_Of_Film,Metastores,Gross
0,Avengers: Endgame,181 min,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.5,"595,600",59,$858.37M
1,Joker,122 min,R,"In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker"".",8.8,"425,354",53,$192.73M
2,Chernobyl,330 min,TV-MA,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",9.5,"378,521",43,$426.83M
3,Captain Marvel,123 min,PG-13,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,7.0,"370,618",53,$388.53M
4,Spider-Man: Far from Home,129 min,PG-13,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.6,"227,148",55,$135.37M
5,Once Upon a Time in Hollywood,161 min,R,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,8.0,"223,967",58,$140.37M
6,Game of Thrones,80 min,TV-MA,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",4.1,"214,653",43,$171.02M
7,Game of Thrones,82 min,TV-MA,The Night King and his army have arrived at Winterfell and the great battle begins.,7.5,"197,305",53,$85.71M
8,Shazam!,132 min,PG-13,"We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's case, by shouting out one word - SHAZAM - this streetwise fourteen-year-old foster kid can turn into the grown-up superhero Shazam.",7.1,"189,412",60,$111.04M
9,John Wick: Chapter 3 - Parabellum,131 min,R,"John Wick is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",7.6,"189,385",48,$175.01M
10,Game of Thrones,78 min,TV-MA,Forces have arrived at King's Landing for the final battle.,6.0,"174,896",57,$354.87M
11,Alita: Battle Angel,122 min,PG-13,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",7.4,"169,463",48,$540.08M
12,Glass,129 min,PG-13,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",6.7,"166,468",56,$433.03M
13,Us,116 min,R,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,6.9,"158,242",52,$193.77M
14,Aladdin,128 min,PG,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,7.1,"154,168",58,$65.85M
15,Game of Thrones,78 min,TV-MA,The Battle of Winterfell is over and a new chapter for Westeros begins.,5.5,"150,139",44,$144.11M
16,The Lion King,118 min,PG,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",7.0,"129,424",60,$165.55M
17,Toy Story 4,100 min,G,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",8.0,"125,844",,$110.50M
18,El Camino: A Breaking Bad Movie,122 min,TV-MA,"A sequel, of sorts, to Breaking Bad following Jesse Pinkman after the events captured in the finale of Breaking Bad. Jesse is now on the run, as a massive police manhunt for him is in operation.",7.5,"121,692",,$160.80M
19,Game of Thrones,54 min,TV-MA,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.,7.6,"119,501",,$96.37M
20,Game of Thrones,58 min,TV-MA,Jaime faces judgment and Winterfell prepares for the battle to come.,7.9,"117,612",,$27.33M
21,It Chapter Two,169 min,R,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",6.8,"108,906",,$79.80M
22,Dark Phoenix,113 min,PG-13,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",5.8,"107,879",,$35.40M
23,Pokémon Detective Pikachu,104 min,PG,"In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",6.7,"102,294",,$54.72M
